DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.0154821	1	5	1	1	12	1	1006	0	10978	15	0	44.9161	0	0
DL	0.0157321	1	5	2	1	12	1	1001	0	10978	15	0	37.2194	0	0
DL	0.0157321	1	5	2	1	12	1	1001	0	10978	15	0	48.0747	0	0
DL	0.0157321	1	5	2	1	12	1	1001	0	10978	15	0	44.9161	0	0
DL	0.0159821	1	5	3	1	12	1	1002	0	10978	15	0	37.2194	0	0
DL	0.0159821	1	5	3	1	12	1	1002	0	10978	15	0	48.0747	0	0
DL	0.0159821	1	5	3	1	12	1	1002	0	10978	15	0	44.9161	0	0
DL	0.0162321	1	6	0	1	12	1	1003	0	10978	15	0	37.2194	0	0
DL	0.0162321	1	6	0	1	12	1	1003	0	10978	15	0	48.0747	0	0
DL	0.0162321	1	6	0	1	12	1	1003	0	10978	15	0	44.9161	0	0
DL	0.0164821	1	6	1	1	12	1	1004	0	10978	15	0	37.2194	0	0
DL	0.0164821	1	6	1	1	12	1	1004	0	10978	15	0	48.0747	0	0
DL	0.0164821	1	6	1	1	12	1	1004	0	10978	15	0	44.9161	0	0
DL	0.0167321	1	6	2	1	12	1	1005	0	10978	15	0	37.2194	0	0
DL	0.0167321	1	6	2	1	12	1	1005	0	10978	15	0	48.0747	0	0
DL	0.0167321	1	6	2	1	12	1	1005	0	10978	15	0	44.9161	0	0
DL	0.0169821	1	6	3	1	12	1	1006	0	10978	15	0	37.2194	0	0
DL	0.0169821	1	6	3	1	12	1	1006	0	10978	15	0	48.0747	0	0
DL	0.0169821	1	6	3	1	12	1	1006	0	10978	15	0	44.9161	0	0
DL	0.0172321	1	7	0	1	12	1	1001	0	10978	15	0	37.2194	0	0
DL	0.0172321	1	7	0	1	12	1	1001	0	10978	15	0	48.0747	0	0
DL	0.0172321	1	7	0	1	12	1	1001	0	10978	15	0	44.9161	0	0
DL	0.0174821	1	7	1	1	12	1	1002	0	10978	15	0	37.2194	0	0
DL	0.0174821	1	7	1	1	12	1	1002	0	10978	15	0	48.0747	0	0
DL	0.0174821	1	7	1	1	12	1	1002	0	10978	15	0	44.9161	0	0
DL	0.0177321	1	7	2	1	12	1	1003	0	10978	15	0	37.2194	0	0
DL	0.0177321	1	7	2	1	12	1	1003	0	10978	15	0	48.0747	0	0
DL	0.0177321	1	7	2	1	12	1	1003	0	10978	15	0	44.9161	0	0
DL	0.0179821	1	7	3	1	12	1	1004	0	10978	15	0	37.2194	0	0
DL	0.0179821	1	7	3	1	12	1	1004	0	10978	15	0	48.0747	0	0
DL	0.0179821	1	7	3	1	12	1	1004	0	10978	15	0	44.9161	0	0
DL	0.0182321	1	8	0	1	12	1	1005	0	10978	15	0	37.2194	0	0
DL	0.0182321	1	8	0	1	12	1	1005	0	10978	15	0	48.0747	0	0
DL	0.0182321	1	8	0	1	12	1	1005	0	10978	15	0	44.9161	0	0
DL	0.0184821	1	8	1	1	12	1	1006	0	10978	15	0	37.2194	0	0
DL	0.0184821	1	8	1	1	12	1	1006	0	10978	15	0	48.0747	0	0
DL	0.0184821	1	8	1	1	12	1	1006	0	10978	15	0	44.9161	0	0
DL	0.0187321	1	8	2	1	12	1	1001	0	10978	15	0	37.2194	0	0
DL	0.0187321	1	8	2	1	12	1	1001	0	10978	15	0	48.0747	0	0
DL	0.0187321	1	8	2	1	12	1	1001	0	10978	15	0	44.9161	0	0
DL	0.0189821	1	8	3	1	12	1	1002	0	10978	15	0	37.2194	0	0
DL	0.0189821	1	8	3	1	12	1	1002	0	10978	15	0	48.0747	0	0
DL	0.0189821	1	8	3	1	12	1	1002	0	10978	15	0	44.9161	0	0
DL	0.0192321	1	9	0	1	12	1	1003	0	10978	15	0	37.2194	0	0
DL	0.0192321	1	9	0	1	12	1	1003	0	10978	15	0	48.0747	0	0
DL	0.0192321	1	9	0	1	12	1	1003	0	10978	15	0	44.9161	0	0
DL	0.0194821	1	9	1	1	12	1	1004	0	10978	15	0	37.2194	0	0
DL	0.0194821	1	9	1	1	12	1	1004	0	10978	15	0	48.0747	0	0
DL	0.0194821	1	9	1	1	12	1	1004	0	10978	15	0	44.9161	0	0
DL	0.0197321	1	9	2	1	12	1	1005	0	10978	15	0	37.2194	0	0
DL	0.0197321	1	9	2	1	12	1	1005	0	10978	15	0	48.0747	0	0
DL	0.0197321	1	9	2	1	12	1	1005	0	10978	15	0	44.9161	0	0
DL	0.0199821	1	9	3	1	12	1	1006	0	10978	15	0	37.2194	0	0
DL	0.0199821	1	9	3	1	12	1	1006	0	10978	15	0	48.0747	0	0
DL	0.0199821	1	9	3	1	12	1	1006	0	10978	15	0	44.9161	0	0
DL	0.0202321	2	0	0	1	12	1	1001	0	10978	15	0	37.2194	0	0
DL	0.0202321	2	0	0	1	12	1	1001	0	10978	15	0	48.0747	0	0
DL	0.0202321	2	0	0	1	12	1	1001	0	10978	15	0	44.9161	0	0
DL	0.0204821	2	0	1	1	12	1	1002	0	10978	15	0	37.2194	0	0
DL	0.0204821	2	0	1	1	12	1	1002	0	10978	15	0	48.0747	0	0
DL	0.0204821	2	0	1	1	12	1	1002	0	10978	15	0	44.9161	0	0
DL	0.0207321	2	0	2	1	12	1	1003	0	10978	15	0	37.2194	0	0
DL	0.0207321	2	0	2	1	12	1	1003	0	10978	15	0	48.0747	0	0
DL	0.0207321	2	0	2	1	12	1	1003	0	10978	15	0	44.9161	0	0
DL	0.0209821	2	0	3	1	12	1	1004	0	10978	15	0	37.2194	0	0
DL	0.0209821	2	0	3	1	12	1	1004	0	10978	15	0	48.0747	0	0
DL	0.0209821	2	0	3	1	12	1	1004	0	10978	15	0	44.9161	0	0
DL	0.0212321	2	1	0	1	12	1	1005	0	10978	15	0	37.2194	0	0
DL	0.0212321	2	1	0	1	12	1	1005	0	10978	15	0	48.0747	0	0
DL	0.0212321	2	1	0	1	12	1	1005	0	10978	15	0	44.9161	0	0
DL	0.0214821	2	1	1	1	12	1	1006	0	10978	15	0	37.2194	0	0
DL	0.0214821	2	1	1	1	12	1	1006	0	10978	15	0	48.0747	0	0
DL	0.0214821	2	1	1	1	12	1	1006	0	10978	15	0	44.9161	0	0
DL	0.0217321	2	1	2	1	12	1	1001	0	10978	15	0	37.2194	0	0
DL	0.0217321	2	1	2	1	12	1	1001	0	10978	15	0	48.0747	0	0
DL	0.0217321	2	1	2	1	12	1	1001	0	10978	15	0	44.9161	0	0
DL	0.0219821	2	1	3	1	12	1	1002	0	10978	15	0	37.2194	0	0
DL	0.0219821	2	1	3	1	12	1	1002	0	10978	15	0	48.0747	0	0
DL	0.0219821	2	1	3	1	12	1	1002	0	10978	15	0	44.9161	0	0
DL	0.0222321	2	2	0	1	12	1	1003	0	10978	15	0	37.2194	0	0
DL	0.0222321	2	2	0	1	12	1	1003	0	10978	15	0	48.0747	0	0
DL	0.0222321	2	2	0	1	12	1	1003	0	10978	15	0	44.9161	0	0
DL	0.0224821	2	2	1	1	12	1	1004	0	10978	15	0	37.2194	0	0
DL	0.0224821	2	2	1	1	12	1	1004	0	10978	15	0	48.0747	0	0
DL	0.0224821	2	2	1	1	12	1	1004	0	10978	15	0	44.9161	0	0
DL	0.0227321	2	2	2	1	12	1	1005	0	10978	15	0	37.2194	0	0
DL	0.0227321	2	2	2	1	12	1	1005	0	10978	15	0	48.0747	0	0
DL	0.0227321	2	2	2	1	12	1	1005	0	10978	15	0	44.9161	0	0
DL	0.0229821	2	2	3	1	12	1	1006	0	10978	15	0	37.2194	0	0
DL	0.0229821	2	2	3	1	12	1	1006	0	10978	15	0	48.0747	0	0
DL	0.0229821	2	2	3	1	12	1	1006	0	10978	15	0	44.9161	0	0
DL	0.0232321	2	3	0	1	12	1	1001	0	10978	15	0	37.2194	0	0
DL	0.0232321	2	3	0	1	12	1	1001	0	10978	15	0	48.0747	0	0
DL	0.0232321	2	3	0	1	12	1	1001	0	10978	15	0	44.9161	0	0
DL	0.0234821	2	3	1	1	12	1	1002	0	10978	15	0	37.2194	0	0
DL	0.0234821	2	3	1	1	12	1	1002	0	10978	15	0	48.0747	0	0
DL	0.0234821	2	3	1	1	12	1	1002	0	10978	15	0	44.9161	0	0
DL	0.0237321	2	3	2	1	12	1	1003	0	10978	15	0	37.2194	0	0
DL	0.0237321	2	3	2	1	12	1	1003	0	10978	15	0	48.0747	0	0
DL	0.0237321	2	3	2	1	12	1	1003	0	10978	15	0	44.9161	0	0
DL	0.0239821	2	3	3	1	12	1	1004	0	10978	15	0	37.2194	0	0
DL	0.0239821	2	3	3	1	12	1	1004	0	10978	15	0	48.0747	0	0
DL	0.0239821	2	3	3	1	12	1	1004	0	10978	15	0	44.9161	0	0
DL	0.0242321	2	4	0	1	12	1	1005	0	10978	15	0	37.2194	0	0
DL	0.0242321	2	4	0	1	12	1	1005	0	10978	15	0	48.0747	0	0
DL	0.0242321	2	4	0	1	12	1	1005	0	10978	15	0	44.9161	0	0
DL	0.0244821	2	4	1	1	12	1	1006	0	10978	15	0	37.2194	0	0
DL	0.0244821	2	4	1	1	12	1	1006	0	10978	15	0	48.0747	0	0
DL	0.0244821	2	4	1	1	12	1	1006	0	10978	15	0	44.9161	0	0
DL	0.0247321	2	4	2	1	12	1	1001	0	10978	15	0	37.2194	0	0
DL	0.0247321	2	4	2	1	12	1	1001	0	10978	15	0	48.0747	0	0
DL	0.0247321	2	4	2	1	12	1	1001	0	10978	15	0	44.9161	0	0
DL	0.0249821	2	4	3	1	12	1	1002	0	10978	15	0	37.2194	0	0
DL	0.0249821	2	4	3	1	12	1	1002	0	10978	15	0	48.0747	0	0
DL	0.0249821	2	4	3	1	12	1	1002	0	10978	15	0	44.9161	0	0
DL	0.0252321	2	5	0	1	12	1	1003	0	10978	15	0	37.2194	0	0
DL	0.0252321	2	5	0	1	12	1	1003	0	10978	15	0	48.0747	0	0
DL	0.0252321	2	5	0	1	12	1	1003	0	10978	15	0	44.9161	0	0
DL	0.0254821	2	5	1	1	12	1	1004	0	10978	15	0	37.2194	0	0
DL	0.0254821	2	5	1	1	12	1	1004	0	10978	15	0	48.0747	0	0
DL	0.0254821	2	5	1	1	12	1	1004	0	10978	15	0	44.9161	0	0
DL	0.0257321	2	5	2	1	12	1	1005	0	10978	15	0	37.2194	0	0
DL	0.0257321	2	5	2	1	12	1	1005	0	10978	15	0	48.0747	0	0
DL	0.0257321	2	5	2	1	12	1	1005	0	10978	15	0	44.9161	0	0
DL	0.0259821	2	5	3	1	12	1	1006	0	10978	15	0	37.2194	0	0
DL	0.0259821	2	5	3	1	12	1	1006	0	10978	15	0	48.0747	0	0
DL	0.0259821	2	5	3	1	12	1	1006	0	10978	15	0	44.9161	0	0
DL	0.0262321	2	6	0	1	12	1	1001	0	10978	15	0	37.2194	0	0
DL	0.0262321	2	6	0	1	12	1	1001	0	10978	15	0	48.0747	0	0
DL	0.0262321	2	6	0	1	12	1	1001	0	10978	15	0	44.9161	0	0
DL	0.0264821	2	6	1	1	12	1	1002	0	10978	15	0	37.2194	0	0
DL	0.0264821	2	6	1	1	12	1	1002	0	10978	15	0	48.0747	0	0
DL	0.0264821	2	6	1	1	12	1	1002	0	10978	15	0	44.9161	0	0
DL	0.0267321	2	6	2	1	12	1	1003	0	10978	15	0	37.2194	0	0
DL	0.0267321	2	6	2	1	12	1	1003	0	10978	15	0	48.0747	0	0
DL	0.0267321	2	6	2	1	12	1	1003	0	10978	15	0	44.9161	0	0
DL	0.0269821	2	6	3	1	12	1	1004	0	10978	15	0	37.2194	0	0
DL	0.0269821	2	6	3	1	12	1	1004	0	10978	15	0	48.0747	0	0
DL	0.0269821	2	6	3	1	12	1	1004	0	10978	15	0	44.9161	0	0
DL	0.0272321	2	7	0	1	12	1	1005	0	10978	15	0	37.2194	0	0
DL	0.0272321	2	7	0	1	12	1	1005	0	10978	15	0	48.0747	0	0
DL	0.0272321	2	7	0	1	12	1	1005	0	10978	15	0	44.9161	0	0
DL	0.0274821	2	7	1	1	12	1	1006	0	10978	15	0	37.2194	0	0
DL	0.0274821	2	7	1	1	12	1	1006	0	10978	15	0	48.0747	0	0
DL	0.0274821	2	7	1	1	12	1	1006	0	10978	15	0	44.9161	0	0
DL	0.0277321	2	7	2	1	12	1	1001	0	10978	15	0	37.2194	0	0
